"","Year","Round","Region Number","Region Name","Seed","Score","Team","Opponent","Opp_Score","Opp_Seed","Win"
"1773",2015,1,1,"Midwest",5,68,"West Virginia","Buffalo",62,12,1
"1774",2015,1,1,"Midwest",12,62,"Buffalo","West Virginia",68,5,0
"1775",2015,1,1,"Midwest",6,56,"Butler","Texas",48,11,1
"1776",2015,1,1,"Midwest",11,48,"Texas","Butler",56,6,0
"1777",2015,1,1,"Midwest",7,81,"Wichita St","Indiana",76,10,1
"1778",2015,1,1,"Midwest",10,76,"Indiana","Wichita St",81,7,0
"1779",2015,1,1,"Midwest",8,66,"Cincinnati","Purdue",65,9,1
"1780",2015,1,1,"Midwest",9,65,"Purdue","Cincinnati",66,8,0
"1781",2015,1,2,"West",1,86,"Wisconsin","Coastal Carolina",72,16,1
"1782",2015,1,2,"West",16,72,"Coastal Carolina","Wisconsin",86,1,0
"1783",2015,1,2,"West",2,93,"Arizona","Texas Southern",72,15,1
"1784",2015,1,2,"West",15,72,"Texas Southern","Arizona",93,2,0
"1785",2015,1,2,"West",3,56,"Baylor","Georgia St",57,14,0
"1786",2015,1,2,"West",14,57,"Georgia St","Baylor",56,3,1
"1787",2015,1,2,"West",4,67,"North Carolina","Harvard",65,13,1
"1788",2015,1,2,"West",13,65,"Harvard","North Carolina",67,4,0
"1789",2015,1,2,"West",5,56,"Arkansas","Wofford",53,12,1
"1790",2015,1,2,"West",12,53,"Wofford","Arkansas",56,5,0
"1791",2015,1,2,"West",6,76,"Xavier","Ole Miss",57,11,1
"1792",2015,1,2,"West",11,57,"Ole Miss","Xavier",76,6,0
"1793",2015,1,2,"West",7,72,"VCU","Ohio St",75,10,0
"1794",2015,1,2,"West",10,75,"Ohio St","VCU",72,7,1
"1795",2015,1,2,"West",8,79,"Oregon","Oklahoma St",73,9,1
"1796",2015,1,2,"West",9,73,"Oklahoma St","Oregon",79,8,0
"1797",2015,1,3,"East",1,93,"Villanova","Lafayette",52,16,1
"1798",2015,1,3,"East",16,52,"Lafayette","Villanova",93,1,0
"1799",2015,1,3,"East",2,79,"Virginia","Belmont",67,15,1
"1800",2015,1,3,"East",15,67,"Belmont","Virginia",79,2,0
"1801",2015,1,3,"East",3,69,"Oklahoma","Albany",60,14,1
"1802",2015,1,3,"East",14,60,"Albany","Oklahoma",69,3,0
"1803",2015,1,3,"East",4,57,"Louisville","Cal Irvine",55,13,1
"1804",2015,1,3,"East",13,55,"Cal Irvine","Louisville",57,4,0
"1805",2015,1,3,"East",5,71,"Northern Iowa","Wyoming",54,12,1
"1806",2015,1,3,"East",12,54,"Wyoming","Northern Iowa",71,5,0
